,ME,ME,ME,ME,ME,ME,ME,ME,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE
,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos
unique_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotel_0,0.09100529100529098,0.012345679012345696,-0.0002641561382180667,-0.0074693483828604254,-0.030082815414223932,-0.045717870041964516,-0.040866928039089055,0.14144100480609473,0.19911816578483243,0.21164021164021163,0.17960904702673872,0.18396955674077392,0.18537577693701918,0.2288316152490531,0.18733371984758915,0.1775466586757169,0.2543971735683555,0.2640565646113474,0.22467646437959676,0.22684944621075406,0.23990214374521637,0.2938292688171628,0.23451873633077322,0.2447755314007536,,,,,,,,
hotel_105,0.1404761904761905,-0.06365678346810423,-0.02224264149548218,-0.0043954024493713705,-0.008473962565168275,-0.03522581946630256,0.005551943406529603,0.05312524055802703,0.18737646001796945,0.11675651392632526,0.11290209882265696,0.11222684714449342,0.12838503662057985,0.1311715602031294,0.19009594003279148,0.12209128518685068,0.2453354241711329,0.14945072827433395,0.1434463288414498,0.13440725546643711,0.1537499098967217,0.16769209288357997,0.2318270705281521,0.15118738413408714,,,,,,,,
hotel_112,-0.10107142857142855,-0.03767857142857143,-0.05882779512808377,-0.04636319417934625,-0.17366910364911897,-0.05932399136679512,-0.04723134100437164,0.005660087977136882,0.17598214285714286,0.11946428571428573,0.12153968707419234,0.1065255683757446,0.2532775598265629,0.11527170538902283,0.10839374908379147,0.10332302749156952,0.2107292291916674,0.14888724161017194,0.1437353435217492,0.1267825869387308,0.29992515022951777,0.14048162374308482,0.12935061248827903,0.12390869851083768,,,,,,,,
hotel_126,0.026807057484348307,0.010529311326124068,-0.018791934513791155,0.010935632561383942,0.02820624931228483,0.015202761666640405,0.022618283237254806,0.04631349626561763,0.06198064883323847,0.0620375640295959,0.07341731301247087,0.06209295457752611,0.11816173664091643,0.0731377385086001,0.06522983644893376,0.0630924542281325,0.10015441347688316,0.10605074377629865,0.09686615850418635,0.08952296618504128,0.16632856100366236,0.10929542230214417,0.10435696918493424,0.11642794702333646,,,,,,,,
hotel_133,-0.042857142857142864,-0.04800936768149882,-0.0812448259017553,-0.06313476645091565,-0.06231551088698163,-0.03335156814485299,-0.03327835171507448,-0.04904901822919868,0.14918032786885246,0.1299765807962529,0.14160657725628417,0.11870079401806505,0.20274111097068664,0.11437470915376162,0.11667471031115263,0.1262989326090109,0.18537745841534314,0.1649034591593136,0.17800059893238354,0.14435463057917947,0.2668642447210113,0.1456928345863457,0.14691575612244626,0.15643711580304656,,,,,,,,
hotel_14,0.07216981132075473,-0.001415094339622642,0.024128240323120956,0.00020972526421647597,-0.045429433401657116,-0.008463368084874126,-0.0072116200935165905,0.010156859618152242,0.14561994609164422,0.11448787061994611,0.10037669584285139,0.1008785609483364,0.18141078679138534,0.10245392107256661,0.08171872306625157,0.09406653735435234,0.18805996753944554,0.15183153470737698,0.13191787167500654,0.12959247582762223,0.24235977160740318,0.1324861729016815,0.10211074088703857,0.11787721305794364,,,,,,,,
hotel_21,-0.01296296296296297,-0.006613756613756616,-0.018215226122351286,-0.025339414533183866,-0.12491144720391854,0.0014293253264099231,0.0025012501490809967,0.015374671545608967,0.052380952380952375,0.0353174603174603,0.051468631505938965,0.05116518347326658,0.13565938875426906,0.034201325389443246,0.03169741007701429,0.03172428937500746,0.08082270365329251,0.05750013845206515,0.07404351938109434,0.06366418651634047,0.23799232367792392,0.05066672618002118,0.048357360854715876,0.05471379845978799,,,,,,,,
hotel_28,-0.00017857142857142857,-0.00017857142857142857,-0.037971672832756695,-0.0012455834543817663,-0.03822735833418251,-0.0025367312439318218,-0.0017338274702030632,-0.00017856530570885607,0.00017857142857142857,0.00017857142857142857,0.05599529791717311,0.0013352737629859321,0.04210478009256652,0.003014225450211338,0.001935090579292072,0.00017857737796827676,0.00157485197087178,0.00157485197087178,0.06160349785147549,0.002695055650230884,0.08612875487037158,0.00460336802015091,0.003346899430768789,0.0015748512824628816,,,,,,,,
hotel_35,-0.11682477678571429,-0.0470703125,-0.11329209239941208,-0.11437832141652994,-0.1981335477299755,-0.025479094471250262,-0.07981559442622321,-0.09275813379458019,0.1504185267857143,0.15767299107142857,0.1519016279815966,0.152565987547105,0.21736739109203934,0.11970496986593519,0.13138389395815986,0.13933320066758564,0.18596478430330987,0.1871723036234851,0.18685583666115105,0.20221905572724483,0.2778342403393235,0.1443069178108866,0.16216285278232714,0.17204918746147924,,,,,,,,
